Class_id;Class_name;Vsl;Vsg;ID;Roughness;Ang;Density_L;Density_G;Visc_L;Visc_G;ST;P;T;model
3;SW;0.069922476;0.198810633;0.0549;0;0;792.5676379;2.69E+01;0.003217863;1.29E-05;0.015;3252.7;57.5;3
3;SW;0.071207912;0.544204728;0.0549;0;0;791.4407444;2.66E+01;0.003217863;1.29E-05;0.015;3244.6;62.1;3
4;AN;0.056395714;0.994842081;0.0549;0;0;791.6480091;2.61E+01;0.003217863;1.29E-05;0.015;3257.5;62.9;3
4;AN;0.066180005;1.657199567;0.0549;0;0;791.2604802;2.56E+01;0.003217863;1.29E-05;0.015;3258.2;58.2;3
4;AN;0.069074807;3.564760223;0.0549;0;0;791.4331049;2.46E+01;0.003217863;1.29E-05;0.015;3284.1;59.4;4
4;AN;0.079117034;5.028473688;0.0549;0;0;791.2895151;2.45E+01;0.003217863;1.29E-05;0.015;3309.6;59.5;4
4;AN;0.072715486;6.301800343;0.0549;0;0;789.8341249;2.46E+01;0.003217863;1.29E-05;0.015;3321.4;49.4;4
3;SW;0.11980784;0.129392233;0.0549;0;0;789.6324493;2.50E+01;0.003217863;1.29E-05;0.015;3274;60.9;5
4;AN;0.108036106;0.556664162;0.0549;0;0;789.6711527;2.52E+01;0.003217863;1.29E-05;0.015;3237.2;59.1;3
4;AN;0.109779613;0.93859616;0.0549;0;0;790.118775;2.52E+01;0.003217863;1.29E-05;0.015;3246.6;64.5;4
4;AN;0.127722335;1.583011857;0.0549;0;0;790.0902714;2.47E+01;0.003217863;1.29E-05;0.015;3245;61;4
4;AN;0.126161366;3.316354283;0.0549;0;0;790.0087706;2.42E+01;0.003217863;1.29E-05;0.015;3245.3;51.7;4
4;AN;0.116054139;4.94176749;0.0549;0;0;790.11675;2.41E+01;0.003217863;1.29E-05;0.015;3270.3;57.3;4
4;AN;0.115135269;5.876986013;0.0549;0;0;790.4925453;2.41E+01;0.003217863;1.29E-05;0.015;3269.1;52.6;4
4;AN;0.146402342;0.164662359;0.0549;0;0;790.4385897;2.44E+01;0.003217863;1.29E-05;0.015;3219.8;63.9;5
5;IN;0.163087018;0.573566696;0.0549;0;0;790.4910383;2.51E+01;0.003217863;1.29E-05;0.015;3223.2;62.5;5
4;AN;0.161757778;1.016672164;0.0549;0;0;790.4905363;2.53E+01;0.003217863;1.29E-05;0.015;3224.3;62.1;4
4;AN;0.169643114;1.812935349;0.0549;0;0;790.6010346;2.45E+01;0.003217863;1.29E-05;0.015;3230.2;62.3;4
4;AN;0.154417781;3.633787879;0.0549;0;0;790.8592115;2.41E+01;0.003217863;1.29E-05;0.015;3242.3;58.7;4
4;AN;0.15480234;4.800696444;0.0549;0;0;790.907578;2.39E+01;0.003217863;1.29E-05;0.015;3249.4;55;4
4;AN;0.158970624;5.901838294;0.0549;0;0;791.0736044;2.41E+01;0.003217863;1.29E-05;0.015;3246.3;51.4;4
5;IN;0.238214471;0.133884934;0.0549;0;0;791.30935;2.47E+01;0.003217863;1.29E-05;0.015;3203.5;63.3;5
5;IN;0.222985682;0.570990258;0.0549;0;0;791.3241137;2.53E+01;0.003217863;1.29E-05;0.015;3203.5;61.8;5
5;IN;0.269567232;0.933535639;0.0549;0;0;793.990911;2.49E+01;0.003217863;1.29E-05;0.015;3159;58.3;5
4;AN;0.257707398;1.589801394;0.0549;0;0;793.8737957;2.42E+01;0.003217863;1.29E-05;0.015;3174.5;58.2;4
4;AN;0.226875706;3.393058383;0.0549;0;0;793.5789312;2.36E+01;0.003217863;1.29E-05;0.015;3192.2;53.9;4
4;AN;0.239330834;4.569028888;0.0549;0;0;791.9153459;2.35E+01;0.003217863;1.29E-05;0.015;3238.9;55.8;4
4;AN;0.221961289;6.052801354;0.0549;0;0;791.9998621;2.38E+01;0.003217863;1.29E-05;0.015;3235.7;52;4
5;IN;0.308488905;0.151945428;0.0549;0;0;791.7182636;2.45E+01;0.003217863;1.29E-05;0.015;3199;61.7;5
5;IN;0.314723378;0.498118744;0.0549;0;0;791.7055275;2.45E+01;0.003217863;1.29E-05;0.015;3201.5;60.6;5
5;IN;0.312952792;0.912512895;0.0549;0;0;791.5522692;2.48E+01;0.003217863;1.29E-05;0.015;3204;60.7;5
4;AN;0.307095412;1.600588336;0.0549;0;0;791.5094785;2.45E+01;0.003217863;1.29E-05;0.015;3207.4;61.9;5
4;AN;0.303645109;3.197127038;0.0549;0;0;791.5003252;2.35E+01;0.003217863;1.29E-05;0.015;3215.1;58.7;4
4;AN;0.284926935;4.445999538;0.0549;0;0;791.4987874;2.32E+01;0.003217863;1.29E-05;0.015;3223;52.9;4
4;AN;0.314807558;5.847556901;0.0549;0;0;791.8786809;2.35E+01;0.003217863;1.29E-05;0.015;3221.9;51.7;4
5;IN;0.778841068;0.269306883;0.0549;0;0;795.95503;2.40E+01;0.003217863;1.29E-05;0.015;3197.3;61.4;5
5;IN;0.736908251;0.529761174;0.0549;0;0;795.4182861;2.45E+01;0.003217863;1.29E-05;0.015;3193.4;58.5;5
5;IN;0.807501746;0.890568229;0.0549;0;0;795.4946623;2.43E+01;0.003217863;1.29E-05;0.015;3192.5;57;5
